Architecture: alexnet
Load dataset: 13.17 s
Compute features
0 / 5005	Time: 921.638 (921.638)
144 / 5005	Time: 1.054 (7.597)
145 / 5005	Time: 1.505 (7.555)
146 / 5005	Time: 0.854 (7.510)
147 / 5005	Time: 1.306 (7.468)
148 / 5005	Time: 1.002 (7.424)
149 / 5005	Time: 1.704 (7.386)
150 / 5005	Time: 0.501 (7.341)
151 / 5005	Time: 1.758 (7.304)
152 / 5005	Time: 1.204 (7.264)
153 / 5005	Time: 1.763 (7.228)
154 / 5005	Time: 0.653 (7.186)
155 / 5005	Time: 2.104 (7.153)
156 / 5005	Time: 0.734 (7.112)
157 / 5005	Time: 2.306 (7.082)
158 / 5005	Time: 0.353 (7.040)
159 / 5005	Time: 2.357 (7.010)
160 / 5005	Time: 0.102 (6.968)
161 / 5005	Time: 3.076 (6.944)
162 / 5005	Time: 0.037 (6.901)
163 / 5005	Time: 2.455 (6.874)
164 / 5005	Time: 0.401 (6.835)
165 / 5005	Time: 2.356 (6.808)
166 / 5005	Time: 0.402 (6.769)
167 / 5005	Time: 2.155 (6.742)
168 / 5005	Time: 0.503 (6.705)
169 / 5005	Time: 2.356 (6.680)
170 / 5005	Time: 0.753 (6.645)
171 / 5005	Time: 1.855 (6.617)
172 / 5005	Time: 0.952 (6.584)
173 / 5005	Time: 1.955 (6.558)
174 / 5005	Time: 0.603 (6.524)
175 / 5005	Time: 2.237 (6.499)
176 / 5005	Time: 0.402 (6.465)
177 / 5005	Time: 2.111 (6.440)
178 / 5005	Time: 1.155 (6.411)
179 / 5005	Time: 1.454 (6.383)
180 / 5005	Time: 1.054 (6.354)
181 / 5005	Time: 1.555 (6.327)
182 / 5005	Time: 1.354 (6.300)
183 / 5005	Time: 1.304 (6.273)
184 / 5005	Time: 1.604 (6.248)
185 / 5005	Time: 1.407 (6.222)
186 / 5005	Time: 1.309 (6.196)
187 / 5005	Time: 1.760 (6.172)
188 / 5005	Time: 1.753 (6.149)
189 / 5005	Time: 1.003 (6.122)
190 / 5005	Time: 1.807 (6.099)
191 / 5005	Time: 1.003 (6.072)
192 / 5005	Time: 1.906 (6.051)
193 / 5005	Time: 0.954 (6.025)
194 / 5005	Time: 1.504 (6.001)
195 / 5005	Time: 0.954 (5.976)
196 / 5005	Time: 1.856 (5.955)
197 / 5005	Time: 0.903 (5.929)
198 / 5005	Time: 1.955 (5.909)
199 / 5005	Time: 0.603 (5.883)
200 / 5005	Time: 2.405 (5.865)
201 / 5005	Time: 0.302 (5.838)
202 / 5005	Time: 2.306 (5.820)
203 / 5005	Time: 0.256 (5.793)
204 / 5005	Time: 2.606 (5.778)
205 / 5005	Time: 0.152 (5.750)
206 / 5005	Time: 2.812 (5.736)
207 / 5005	Time: 0.036 (5.709)
208 / 5005	Time: 2.506 (5.693)
209 / 5005	Time: 0.553 (5.669)
210 / 5005	Time: 2.406 (5.653)
211 / 5005	Time: 0.653 (5.630)
212 / 5005	Time: 2.406 (5.615)
213 / 5005	Time: 0.102 (5.589)
214 / 5005	Time: 2.857 (5.576)
215 / 5005	Time: 0.101 (5.551)
216 / 5005	Time: 3.122 (5.540)
217 / 5005	Time: 0.036 (5.515)
218 / 5005	Time: 2.426 (5.500)
219 / 5005	Time: 0.038 (5.476)
220 / 5005	Time: 2.621 (5.463)
221 / 5005	Time: 0.038 (5.438)
222 / 5005	Time: 2.721 (5.426)
223 / 5005	Time: 0.035 (5.402)
224 / 5005	Time: 2.771 (5.390)
225 / 5005	Time: 0.038 (5.367)
226 / 5005	Time: 2.875 (5.356)
227 / 5005	Time: 0.037 (5.332)
228 / 5005	Time: 2.761 (5.321)
229 / 5005	Time: 0.050 (5.298)
230 / 5005	Time: 2.808 (5.287)
231 / 5005	Time: 0.160 (5.265)
232 / 5005	Time: 2.875 (5.255)
233 / 5005	Time: 0.038 (5.233)
234 / 5005	Time: 2.570 (5.221)
235 / 5005	Time: 0.037 (5.199)
236 / 5005	Time: 2.619 (5.189)
237 / 5005	Time: 0.037 (5.167)
238 / 5005	Time: 2.109 (5.154)
239 / 5005	Time: 0.251 (5.134)
240 / 5005	Time: 2.256 (5.122)
241 / 5005	Time: 0.405 (5.102)
242 / 5005	Time: 2.406 (5.091)
243 / 5005	Time: 0.252 (5.071)
244 / 5005	Time: 2.459 (5.061)
245 / 5005	Time: 0.366 (5.042)
246 / 5005	Time: 2.450 (5.031)
247 / 5005	Time: 0.953 (5.015)
248 / 5005	Time: 1.805 (5.002)
249 / 5005	Time: 0.752 (4.985)
250 / 5005	Time: 1.905 (4.972)
251 / 5005	Time: 1.154 (4.957)
252 / 5005	Time: 1.756 (4.945)
253 / 5005	Time: 1.003 (4.929)
254 / 5005	Time: 1.655 (4.916)
255 / 5005	Time: 1.004 (4.901)
256 / 5005	Time: 1.655 (4.888)
257 / 5005	Time: 1.053 (4.874)
258 / 5005	Time: 1.555 (4.861)
259 / 5005	Time: 1.154 (4.846)
260 / 5005	Time: 1.604 (4.834)
261 / 5005	Time: 0.703 (4.818)
262 / 5005	Time: 1.504 (4.806)
263 / 5005	Time: 1.405 (4.793)
264 / 5005	Time: 1.755 (4.781)
265 / 5005	Time: 1.258 (4.768)
266 / 5005	Time: 1.405 (4.755)
267 / 5005	Time: 1.104 (4.742)
268 / 5005	Time: 2.206 (4.732)
269 / 5005	Time: 1.254 (4.720)
270 / 5005	Time: 1.636 (4.708)
271 / 5005	Time: 1.454 (4.696)
272 / 5005	Time: 1.955 (4.686)
273 / 5005	Time: 0.803 (4.672)
274 / 5005	Time: 2.707 (4.665)
275 / 5005	Time: 0.252 (4.649)
276 / 5005	Time: 2.957 (4.643)
277 / 5005	Time: 0.753 (4.629)
278 / 5005	Time: 2.107 (4.620)
279 / 5005	Time: 0.503 (4.605)
280 / 5005	Time: 2.206 (4.596)
281 / 5005	Time: 0.402 (4.582)
282 / 5005	Time: 2.107 (4.573)
283 / 5005	Time: 0.552 (4.559)
284 / 5005	Time: 2.206 (4.550)
285 / 5005	Time: 0.653 (4.537)
286 / 5005	Time: 1.955 (4.528)
287 / 5005	Time: 0.953 (4.515)
288 / 5005	Time: 2.205 (4.507)
289 / 5005	Time: 0.660 (4.494)
290 / 5005	Time: 2.557 (4.487)
291 / 5005	Time: 0.302 (4.473)
292 / 5005	Time: 2.505 (4.466)
293 / 5005	Time: 0.303 (4.452)
294 / 5005	Time: 2.688 (4.446)
295 / 5005	Time: 0.038 (4.431)
296 / 5005	Time: 2.820 (4.426)
297 / 5005	Time: 0.038 (4.411)
298 / 5005	Time: 2.770 (4.406)
299 / 5005	Time: 0.038 (4.391)
300 / 5005	Time: 2.422 (4.385)
301 / 5005	Time: 0.036 (4.370)
302 / 5005	Time: 2.820 (4.365)
303 / 5005	Time: 0.038 (4.351)
304 / 5005	Time: 2.628 (4.345)
305 / 5005	Time: 0.038 (4.331)
306 / 5005	Time: 2.158 (4.324)
307 / 5005	Time: 0.251 (4.311)
308 / 5005	Time: 2.606 (4.305)
309 / 5005	Time: 0.203 (4.292)
310 / 5005	Time: 2.656 (4.287)
311 / 5005	Time: 0.402 (4.274)
312 / 5005	Time: 2.356 (4.268)
313 / 5005	Time: 0.451 (4.256)
314 / 5005	Time: 2.526 (4.251)
315 / 5005	Time: 0.038 (4.237)
316 / 5005	Time: 2.722 (4.233)
317 / 5005	Time: 0.036 (4.219)
318 / 5005	Time: 2.371 (4.214)
319 / 5005	Time: 0.038 (4.200)
320 / 5005	Time: 2.319 (4.195)
321 / 5005	Time: 0.038 (4.182)
322 / 5005	Time: 2.156 (4.175)
323 / 5005	Time: 0.654 (4.165)
324 / 5005	Time: 1.905 (4.158)
325 / 5005	Time: 0.904 (4.148)
326 / 5005	Time: 1.604 (4.140)
327 / 5005	Time: 1.414 (4.132)
328 / 5005	Time: 1.054 (4.122)
329 / 5005	Time: 1.705 (4.115)
330 / 5005	Time: 1.304 (4.106)
331 / 5005	Time: 1.554 (4.099)
332 / 5005	Time: 1.358 (4.090)
333 / 5005	Time: 1.406 (4.082)
334 / 5005	Time: 1.304 (4.074)
335 / 5005	Time: 1.254 (4.066)
336 / 5005	Time: 1.604 (4.058)
337 / 5005	Time: 0.904 (4.049)
338 / 5005	Time: 1.805 (4.042)
339 / 5005	Time: 1.003 (4.034)
340 / 5005	Time: 1.852 (4.027)
341 / 5005	Time: 0.953 (4.018)
342 / 5005	Time: 2.055 (4.012)
343 / 5005	Time: 0.556 (4.002)
344 / 5005	Time: 2.470 (3.998)
345 / 5005	Time: 0.039 (3.987)
346 / 5005	Time: 2.106 (3.981)
347 / 5005	Time: 0.352 (3.971)
348 / 5005	Time: 2.206 (3.966)
349 / 5005	Time: 0.618 (3.956)
350 / 5005	Time: 2.360 (3.951)
351 / 5005	Time: 0.502 (3.942)
352 / 5005	Time: 2.256 (3.937)
353 / 5005	Time: 0.452 (3.927)
354 / 5005	Time: 2.154 (3.922)
355 / 5005	Time: 0.602 (3.913)
356 / 5005	Time: 2.058 (3.908)
357 / 5005	Time: 0.755 (3.899)
358 / 5005	Time: 2.055 (3.894)
359 / 5005	Time: 0.503 (3.884)
360 / 5005	Time: 2.157 (3.879)
361 / 5005	Time: 0.305 (3.870)
362 / 5005	Time: 2.257 (3.865)
363 / 5005	Time: 0.277 (3.855)
364 / 5005	Time: 2.356 (3.851)
365 / 5005	Time: 0.453 (3.842)
366 / 5005	Time: 1.957 (3.837)
367 / 5005	Time: 0.604 (3.828)
368 / 5005	Time: 1.805 (3.822)
369 / 5005	Time: 0.707 (3.814)
370 / 5005	Time: 1.505 (3.808)
371 / 5005	Time: 0.961 (3.800)
372 / 5005	Time: 2.353 (3.796)
373 / 5005	Time: 0.058 (3.786)
374 / 5005	Time: 2.862 (3.784)
375 / 5005	Time: 0.154 (3.774)
376 / 5005	Time: 2.520 (3.771)
377 / 5005	Time: 0.038 (3.761)
378 / 5005	Time: 3.572 (3.760)
379 / 5005	Time: 0.038 (3.751)
380 / 5005	Time: 2.371 (3.747)
381 / 5005	Time: 0.038 (3.737)
382 / 5005	Time: 2.570 (3.734)
383 / 5005	Time: 0.039 (3.725)
384 / 5005	Time: 2.723 (3.722)
385 / 5005	Time: 0.040 (3.713)
386 / 5005	Time: 2.869 (3.710)
387 / 5005	Time: 0.036 (3.701)
388 / 5005	Time: 2.669 (3.698)
389 / 5005	Time: 0.036 (3.689)
390 / 5005	Time: 2.571 (3.686)
391 / 5005	Time: 0.038 (3.677)
392 / 5005	Time: 2.577 (3.674)
393 / 5005	Time: 0.038 (3.665)
394 / 5005	Time: 2.118 (3.661)
395 / 5005	Time: 0.036 (3.652)
396 / 5005	Time: 2.321 (3.648)
397 / 5005	Time: 0.045 (3.639)
398 / 5005	Time: 1.869 (3.635)
399 / 5005	Time: 0.038 (3.626)
400 / 5005	Time: 2.971 (3.624)
401 / 5005	Time: 0.038 (3.615)
402 / 5005	Time: 2.622 (3.613)
403 / 5005	Time: 0.038 (3.604)
404 / 5005	Time: 2.469 (3.601)
405 / 5005	Time: 0.037 (3.592)
406 / 5005	Time: 2.076 (3.589)
407 / 5005	Time: 0.038 (3.580)
408 / 5005	Time: 2.121 (3.576)
409 / 5005	Time: 0.039 (3.568)
410 / 5005	Time: 2.519 (3.565)
411 / 5005	Time: 0.036 (3.557)
412 / 5005	Time: 2.421 (3.554)
413 / 5005	Time: 0.037 (3.545)
414 / 5005	Time: 2.576 (3.543)
415 / 5005	Time: 0.039 (3.535)
416 / 5005	Time: 3.071 (3.533)
417 / 5005	Time: 0.039 (3.525)
418 / 5005	Time: 2.670 (3.523)
419 / 5005	Time: 0.036 (3.515)
420 / 5005	Time: 3.506 (3.515)
421 / 5005	Time: 0.060 (3.507)
422 / 5005	Time: 2.319 (3.504)
423 / 5005	Time: 0.036 (3.496)
424 / 5005	Time: 2.269 (3.493)
425 / 5005	Time: 0.038 (3.485)
426 / 5005	Time: 2.922 (3.483)
427 / 5005	Time: 0.038 (3.475)
428 / 5005	Time: 2.520 (3.473)
429 / 5005	Time: 0.039 (3.465)
430 / 5005	Time: 2.820 (3.463)
431 / 5005	Time: 0.037 (3.456)
432 / 5005	Time: 3.020 (3.455)
433 / 5005	Time: 0.038 (3.447)
434 / 5005	Time: 2.820 (3.445)
435 / 5005	Time: 0.038 (3.437)
436 / 5005	Time: 2.770 (3.436)
437 / 5005	Time: 0.038 (3.428)
438 / 5005	Time: 2.921 (3.427)
439 / 5005	Time: 0.036 (3.419)
440 / 5005	Time: 2.729 (3.418)
441 / 5005	Time: 0.039 (3.410)
442 / 5005	Time: 2.470 (3.408)
443 / 5005	Time: 0.039 (3.400)
444 / 5005	Time: 2.571 (3.398)
445 / 5005	Time: 0.038 (3.391)
446 / 5005	Time: 2.620 (3.389)
447 / 5005	Time: 0.038 (3.382)
448 / 5005	Time: 3.021 (3.381)
449 / 5005	Time: 0.036 (3.373)
450 / 5005	Time: 2.470 (3.371)
451 / 5005	Time: 0.038 (3.364)
452 / 5005	Time: 2.482 (3.362)
453 / 5005	Time: 0.039 (3.355)
454 / 5005	Time: 2.474 (3.353)
455 / 5005	Time: 0.040 (3.346)
456 / 5005	Time: 2.619 (3.344)
457 / 5005	Time: 0.039 (3.337)
458 / 5005	Time: 2.570 (3.335)
459 / 5005	Time: 0.037 (3.328)
460 / 5005	Time: 2.475 (3.326)
461 / 5005	Time: 0.036 (3.319)
462 / 5005	Time: 2.870 (3.318)
463 / 5005	Time: 0.038 (3.311)
464 / 5005	Time: 2.521 (3.309)
465 / 5005	Time: 0.036 (3.302)
466 / 5005	Time: 2.570 (3.301)
467 / 5005	Time: 0.044 (3.294)
468 / 5005	Time: 2.570 (3.292)
469 / 5005	Time: 0.039 (3.285)
470 / 5005	Time: 2.518 (3.284)
471 / 5005	Time: 0.037 (3.277)
472 / 5005	Time: 2.520 (3.275)
473 / 5005	Time: 0.038 (3.268)
474 / 5005	Time: 2.770 (3.267)
475 / 5005	Time: 0.038 (3.261)
476 / 5005	Time: 2.569 (3.259)
477 / 5005	Time: 0.038 (3.252)
478 / 5005	Time: 2.620 (3.251)
479 / 5005	Time: 0.038 (3.244)
480 / 5005	Time: 2.370 (3.242)
481 / 5005	Time: 0.038 (3.236)
482 / 5005	Time: 2.569 (3.234)
483 / 5005	Time: 0.038 (3.228)
484 / 5005	Time: 2.370 (3.226)
485 / 5005	Time: 0.038 (3.220)
486 / 5005	Time: 2.620 (3.218)
487 / 5005	Time: 0.038 (3.212)
488 / 5005	Time: 2.770 (3.211)
489 / 5005	Time: 0.038 (3.204)
490 / 5005	Time: 2.771 (3.204)
491 / 5005	Time: 0.038 (3.197)
492 / 5005	Time: 2.721 (3.196)
493 / 5005	Time: 0.038 (3.190)
494 / 5005	Time: 2.570 (3.188)
495 / 5005	Time: 0.038 (3.182)
496 / 5005	Time: 2.373 (3.180)
497 / 5005	Time: 0.039 (3.174)
498 / 5005	Time: 2.220 (3.172)
499 / 5005	Time: 0.037 (3.166)
500 / 5005	Time: 2.768 (3.165)
501 / 5005	Time: 0.038 (3.159)
502 / 5005	Time: 2.822 (3.158)
503 / 5005	Time: 0.037 (3.152)
504 / 5005	Time: 3.021 (3.152)
505 / 5005	Time: 0.036 (3.146)
506 / 5005	Time: 2.467 (3.144)
507 / 5005	Time: 0.036 (3.138)
508 / 5005	Time: 2.022 (3.136)
509 / 5005	Time: 0.036 (3.130)
510 / 5005	Time: 1.872 (3.128)
511 / 5005	Time: 0.036 (3.121)
512 / 5005	Time: 1.869 (3.119)
513 / 5005	Time: 0.038 (3.113)
514 / 5005	Time: 2.321 (3.111)
515 / 5005	Time: 0.057 (3.106)
516 / 5005	Time: 2.620 (3.105)
517 / 5005	Time: 0.039 (3.099)
518 / 5005	Time: 2.371 (3.097)
519 / 5005	Time: 0.038 (3.091)
520 / 5005	Time: 2.217 (3.090)
521 / 5005	Time: 0.036 (3.084)
522 / 5005	Time: 2.020 (3.082)
523 / 5005	Time: 0.038 (3.076)
524 / 5005	Time: 2.119 (3.074)
525 / 5005	Time: 0.037 (3.068)
526 / 5005	Time: 2.724 (3.068)
527 / 5005	Time: 0.038 (3.062)
528 / 5005	Time: 2.769 (3.062)
529 / 5005	Time: 0.044 (3.056)
530 / 5005	Time: 2.560 (3.055)
531 / 5005	Time: 0.101 (3.049)
532 / 5005	Time: 2.806 (3.049)
533 / 5005	Time: 0.200 (3.044)
534 / 5005	Time: 2.658 (3.043)
535 / 5005	Time: 0.070 (3.037)
536 / 5005	Time: 2.520 (3.036)
537 / 5005	Time: 0.038 (3.031)
538 / 5005	Time: 2.723 (3.030)
539 / 5005	Time: 0.038 (3.025)
540 / 5005	Time: 2.770 (3.024)
541 / 5005	Time: 0.038 (3.019)
542 / 5005	Time: 2.421 (3.018)
543 / 5005	Time: 0.038 (3.012)
544 / 5005	Time: 2.971 (3.012)
545 / 5005	Time: 0.038 (3.007)
546 / 5005	Time: 3.560 (3.008)
547 / 5005	Time: 0.303 (3.003)
548 / 5005	Time: 3.618 (3.004)
549 / 5005	Time: 0.202 (2.999)
550 / 5005	Time: 2.056 (2.997)
551 / 5005	Time: 2.207 (2.996)
552 / 5005	Time: 1.905 (2.994)
553 / 5005	Time: 1.153 (2.990)
554 / 5005	Time: 1.705 (2.988)
555 / 5005	Time: 2.005 (2.986)
556 / 5005	Time: 0.803 (2.982)
557 / 5005	Time: 2.005 (2.980)
558 / 5005	Time: 0.703 (2.976)
559 / 5005	Time: 1.955 (2.975)
560 / 5005	Time: 0.853 (2.971)
561 / 5005	Time: 1.291 (2.968)
562 / 5005	Time: 0.452 (2.963)
563 / 5005	Time: 1.404 (2.961)
564 / 5005	Time: 0.853 (2.957)
565 / 5005	Time: 0.902 (2.953)
566 / 5005	Time: 1.355 (2.950)
567 / 5005	Time: 0.905 (2.947)
568 / 5005	Time: 1.654 (2.945)
569 / 5005	Time: 0.907 (2.941)
570 / 5005	Time: 2.060 (2.939)
571 / 5005	Time: 0.452 (2.935)
572 / 5005	Time: 2.207 (2.934)
573 / 5005	Time: 0.652 (2.930)
574 / 5005	Time: 2.656 (2.929)
575 / 5005	Time: 0.402 (2.925)
576 / 5005	Time: 2.204 (2.924)
577 / 5005	Time: 0.701 (2.920)
578 / 5005	Time: 2.457 (2.919)
579 / 5005	Time: 1.153 (2.916)
580 / 5005	Time: 1.454 (2.913)
581 / 5005	Time: 1.354 (2.911)
582 / 5005	Time: 1.506 (2.908)
583 / 5005	Time: 1.354 (2.906)
584 / 5005	Time: 1.555 (2.903)
585 / 5005	Time: 2.457 (2.903)
586 / 5005	Time: 0.453 (2.898)
587 / 5005	Time: 2.657 (2.898)
588 / 5005	Time: 0.152 (2.893)
589 / 5005	Time: 2.557 (2.893)
590 / 5005	Time: 0.203 (2.888)
591 / 5005	Time: 2.370 (2.887)
592 / 5005	Time: 0.039 (2.883)
593 / 5005	Time: 2.619 (2.882)
594 / 5005	Time: 0.036 (2.877)
595 / 5005	Time: 2.019 (2.876)
596 / 5005	Time: 0.040 (2.871)
597 / 5005	Time: 2.519 (2.871)
598 / 5005	Time: 0.038 (2.866)
599 / 5005	Time: 2.721 (2.866)
600 / 5005	Time: 0.038 (2.861)
601 / 5005	Time: 2.620 (2.861)
602 / 5005	Time: 0.039 (2.856)
603 / 5005	Time: 2.820 (2.856)
604 / 5005	Time: 0.037 (2.851)
605 / 5005	Time: 2.820 (2.851)
606 / 5005	Time: 0.036 (2.846)
607 / 5005	Time: 3.075 (2.847)
608 / 5005	Time: 0.038 (2.842)
609 / 5005	Time: 2.823 (2.842)
610 / 5005	Time: 0.038 (2.838)
611 / 5005	Time: 2.420 (2.837)
612 / 5005	Time: 0.039 (2.832)
613 / 5005	Time: 3.421 (2.833)
614 / 5005	Time: 0.038 (2.829)
615 / 5005	Time: 2.468 (2.828)
616 / 5005	Time: 0.037 (2.824)
617 / 5005	Time: 2.219 (2.823)
618 / 5005	Time: 0.039 (2.818)
619 / 5005	Time: 2.452 (2.818)
620 / 5005	Time: 0.066 (2.813)
621 / 5005	Time: 2.318 (2.812)
622 / 5005	Time: 0.036 (2.808)
623 / 5005	Time: 3.421 (2.809)
624 / 5005	Time: 0.037 (2.804)
625 / 5005	Time: 2.922 (2.805)
626 / 5005	Time: 0.039 (2.800)
627 / 5005	Time: 2.771 (2.800)
628 / 5005	Time: 0.036 (2.796)
629 / 5005	Time: 2.569 (2.795)
630 / 5005	Time: 0.038 (2.791)
631 / 5005	Time: 2.924 (2.791)
632 / 5005	Time: 0.038 (2.787)
633 / 5005	Time: 2.720 (2.787)
634 / 5005	Time: 0.038 (2.782)
635 / 5005	Time: 2.419 (2.782)
636 / 5005	Time: 0.038 (2.778)
637 / 5005	Time: 2.319 (2.777)
638 / 5005	Time: 0.039 (2.773)
639 / 5005	Time: 2.326 (2.772)
640 / 5005	Time: 0.038 (2.768)
641 / 5005	Time: 2.323 (2.767)
642 / 5005	Time: 0.039 (2.763)
643 / 5005	Time: 2.621 (2.762)
644 / 5005	Time: 0.038 (2.758)
645 / 5005	Time: 2.572 (2.758)
646 / 5005	Time: 0.039 (2.754)
647 / 5005	Time: 2.469 (2.753)
648 / 5005	Time: 0.038 (2.749)
649 / 5005	Time: 2.369 (2.749)
650 / 5005	Time: 0.038 (2.744)
651 / 5005	Time: 2.318 (2.744)
652 / 5005	Time: 0.037 (2.740)
653 / 5005	Time: 2.670 (2.739)
654 / 5005	Time: 0.039 (2.735)
655 / 5005	Time: 2.624 (2.735)
656 / 5005	Time: 0.036 (2.731)
657 / 5005	Time: 2.472 (2.731)
658 / 5005	Time: 0.037 (2.727)
659 / 5005	Time: 2.538 (2.726)
660 / 5005	Time: 0.067 (2.722)
661 / 5005	Time: 2.568 (2.722)
662 / 5005	Time: 0.038 (2.718)
